slice_id,n_points_full,n_sampled_full,degree_full,error_max_full,error_mean_full,success_full,n_points_prot,n_sampled_prot,degree_prot,error_max_prot,error_mean_prot,has_protuberance
0,418,20,3,3.457650183405701e-13,1.7334397152133618e-13,True,44,10,3.0,2.453173877602249e-13,1.0521106778849523e-13,True
1,408,20,3,3.7057375295732124e-13,1.7818677017796107e-13,True,30,10,3.0,2.5391341843609377e-13,7.564324624880012e-14,True
2,396,20,3,3.8263897345803627e-13,1.5062734225194134e-13,True,14,10,3.0,1.3481600519334532e-13,4.981601137708145e-14,True
3,398,20,3,7.817584796424163e-13,2.707502650670906e-13,True,16,10,3.0,1.449228509952941e-13,8.838271563534824e-14,True
4,406,20,3,7.679123022004601e-13,2.523141216606627e-13,True,22,10,3.0,1.8212639386627382e-13,6.723000912499651e-14,True
5,416,20,3,4.0693694993695867e-13,1.68793091657244e-13,True,32,10,3.0,3.5704330589399866e-13,1.6576721125524077e-13,True
6,828,20,3,9.41355163017715e-13,2.7818065922342694e-13,True,8,8,3.0,2.278173318171838e-13,1.5414645871857544e-13,True
7,824,20,3,5.684341886080801e-13,2.452207984623799e-13,True,4,4,,0.0,0.0,False
8,814,20,3,9.532931148469528e-13,4.670493647303225e-13,True,0,0,,0.0,0.0,False
9,774,20,3,1.342624978070436e-12,3.9238758265087144e-13,True,0,0,,0.0,0.0,False
